"","species.richness.error","prediction.success","kappa","specificity","sensitivity","Jaccard"
"mean",2.0827931501548,0.663016398993808,1.03035626562944,0.455660635964912,0.371521059081527,0.0953923181114551
"SD",1.44476882788932,0.273746335960268,0.0354519305746611,0.238224924525749,0.481144415914999,0.134620867941186
