species,,latitude,longitude
Agile Antechinus,,-37.91585,146.37043
Agile Antechinus,,-37.91585,146.37043
Agile Antechinus,,-37.91585,146.37043
Agile Antechinus,,-37.91585,146.37043
Agile Antechinus,,-37.92682,146.40106
Agile Antechinus,,-37.92682,146.40106
Agile Antechinus,,-37.92682,146.40106
Agile Antechinus,,-37.92682,146.40106
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.91086,147.29194
Agile Antechinus,,-37.91086,147.29194
Southern Brown Tree Frog,,-37.94713,146.3235
Agile Antechinus,,-37.81743,146.33832
Agile Antechinus,,-37.81743,146.33832
Southern Brown Tree Frog,,-37.89472,145.6723
Southern Brown Tree Frog,,-37.89472,145.6723
Southern Brown Tree Frog,,-37.89472,145.6723
Agile Antechinus,,-37.84333,145.84142
Agile Antechinus,,-37.84333,145.84142
Southern Brown Tree Frog,,-37.8516,145.85721
Southern Brown Tree Frog,,-37.89072,145.99648
Brown Treecreeper,,-37.66633,144.36356
Agile Antechinus,,-37.45306,145.13636
Brown Treecreeper,,-37.78085,144.57748
Agile Antechinus,,-37.5808,145.36307
Agile Antechinus,,-37.42782,145.07935
Agile Antechinus,,-37.6313,145.3019
Agile Antechinus,,-37.6313,145.3019
Agile Antechinus,,-38.41044,144.99177
Brown Treecreeper,,-37.61044,144.61701
Agile Antechinus,,-37.41181,146.33513
Agile Antechinus,,-37.41181,146.33513
Agile Antechinus,,-37.41181,146.33513
Agile Antechinus,,-37.34145,147.17118
Agile Antechinus,,-37.34145,147.17118
Southern Brown Tree Frog,,-37.71348,147.96623
Southern Brown Tree Frog,,-38.36365,146.96408
Agile Antechinus,,-37.40966,147.72389
Agile Antechinus,,-37.40966,147.72389
Agile Antechinus,,-37.40966,147.72389
Agile Antechinus,,-36.84103,147.24296
Brown Treecreeper,,-37.11379,142.58783
Southern Brown Tree Frog,,-38.21225,141.48516
Southern Brown Tree Frog,,-37.74454,148.95178
Agile Antechinus,,-37.57091,149.28578
Agile Antechinus,,-37.5207,149.36457
Agile Antechinus,,-37.63755,149.50992
Agile Antechinus,,-37.43746,149.7541
Southern Brown Tree Frog,,-37.77125,148.24516
Southern Brown Tree Frog,,-37.82957,148.18251
Agile Antechinus,,-37.79253,148.35795
Agile Antechinus,,-37.79253,148.35795
Agile Antechinus,,-37.79253,148.35795
Agile Antechinus,,-37.79253,148.35795
Agile Antechinus,,-37.79253,148.35795
Agile Antechinus,,-37.79253,148.35795
Brown Treecreeper,,-36.52932,145.9585
Brown Treecreeper,,-36.42996,145.66644
Brown Treecreeper,,-36.42996,145.66644
Brown Treecreeper,,-36.42996,145.66644
Brown Treecreeper,,-36.78616,144.33467
Agile Antechinus,,-36.09207,147.4739
Agile Antechinus,,-36.09207,147.4739
Brown Treecreeper,,-36.09207,147.4739
Agile Antechinus,,-38.39182,145.56478
Agile Antechinus,,-38.39182,145.56478
Brown Treecreeper,,-36.7288,144.47324
Brown Treecreeper,,-36.70603,143.22755
Brown Treecreeper,,-36.72706,143.0087
Brown Treecreeper,,-36.15618,146.20359
Brown Treecreeper,,-36.15618,146.20359
Brown Treecreeper,,-36.26526,146.20359
Brown Treecreeper,,-36.52884,143.69037
Brown Treecreeper,,-36.84313,143.77872
Brown Treecreeper,,-36.76702,144.91
Brown Treecreeper,,-36.76702,144.91
