species,,latitude,longitude
Southern Brown Tree Frog,,-38.31594,142.26231
Southern Brown Tree Frog,,-38.09141,145.4613
Southern Brown Tree Frog,,-38.17141,145.58872
Southern Brown Tree Frog,,-38.17535,145.503
Southern Brown Tree Frog,,-38.22418,141.36619
Southern Brown Tree Frog,,-37.22568,145.58253
Southern Brown Tree Frog,,-36.93035,146.53119
Brown Treecreeper,,-37.25307,141.91929
Brown Treecreeper,,-37.56316,145.42127
Southern Brown Tree Frog,,-37.81942,145.27252
Southern Brown Tree Frog,,-37.81942,145.27252
Southern Brown Tree Frog,,-37.06842,144.30537
Southern Brown Tree Frog,,-37.30109,142.69609
Brown Treecreeper,,-37.30109,142.69609
Brown Treecreeper,,-36.12754,146.60977
Brown Treecreeper,,-34.69049,142.24169
Agile Antechinus,,-37.25855,143.18627
Agile Antechinus,,-37.25855,143.18627
Agile Antechinus,,-37.25855,143.18627
Agile Antechinus,,-37.45953,146.12495
Agile Antechinus,,-37.3781,145.7667
Agile Antechinus,,-37.2678,144.0717
Agile Antechinus,,-37.2678,144.0717
Agile Antechinus,,-37.2678,144.0717
Agile Antechinus,,-37.2678,144.0717
Agile Antechinus,,-37.2678,144.0717
Agile Antechinus,,-37.2869,144.1173
Agile Antechinus,,-37.2869,144.1173
Southern Brown Tree Frog,,-38.8889,145.9874
Brown Treecreeper,,-36.3215,145.7815
Brown Treecreeper,,-36.0759,147.1114
Brown Treecreeper,,-36.1017,146.7134
Agile Antechinus,,-38.2399,147.3151
Agile Antechinus,,-38.2404,147.31474
Agile Antechinus,,-38.2558,147.27892
Brown Treecreeper,,-34.3699,142.18753
Brown Treecreeper,,-34.3699,142.18753
Southern Brown Tree Frog,,-38.0521,146.36605
Southern Brown Tree Frog,,-38.2385,141.5235
Southern Brown Tree Frog,,-38.3261,141.467
Southern Brown Tree Frog,,-38.3261,141.467
Southern Brown Tree Frog,,-38.0425,141.6695
Southern Brown Tree Frog,,-37.3602,141.1319
Southern Brown Tree Frog,,-37.3602,141.1319
Southern Brown Tree Frog,,-37.3051,141.3783
Southern Brown Tree Frog,,-37.3051,141.3783
Southern Brown Tree Frog,,-37.2857,141.3246
Southern Brown Tree Frog,,-37.2857,141.3246
Southern Brown Tree Frog,,-37.363,141.3798
Southern Brown Tree Frog,,-37.363,141.3798
Southern Brown Tree Frog,,-38.4954,143.5238
Southern Brown Tree Frog,,-38.4954,143.5238
Southern Brown Tree Frog,,-37.6416,143.5786
Southern Brown Tree Frog,,-37.6416,143.5786
Southern Brown Tree Frog,,-37.6975,143.7298
Southern Brown Tree Frog,,-38.1782,141.6518
Southern Brown Tree Frog,,-38.1782,141.6518
Southern Brown Tree Frog,,-37.8746,143.55129
Southern Brown Tree Frog,,-37.4164,143.4326
Brown Treecreeper,,-34.22879,142.23043
Brown Treecreeper,,-34.22879,142.23043
Brown Treecreeper,,-34.165,141.19722
Agile Antechinus,,-38.395,144.22583
Agile Antechinus,,-38.395,144.22583
Southern Brown Tree Frog,,-38.395,144.22583
Agile Antechinus,,-38.4229,144.93101
Agile Antechinus,,-38.4179,144.95353
Southern Brown Tree Frog,,-37.4434,142.02896
Agile Antechinus,,-37.7445,149.48185
Agile Antechinus,,-37.2686,148.97986
Agile Antechinus,,-37.2861,149.00239
Agile Antechinus,,-38.2406,147.30592
Agile Antechinus,,-37.7201,149.27368
Agile Antechinus,,-38.3763,144.1142
Agile Antechinus,,-38.4873,144.0111
Brown Treecreeper,,-34.0921,141.13787
Southern Brown Tree Frog,,-38.4004,144.87748
Southern Brown Tree Frog,,-38.3908,145.03541
Southern Brown Tree Frog,,-38.3041,146.00163
Southern Brown Tree Frog,,-37.7766,147.16914
Southern Brown Tree Frog,,-38.8801,146.19466
Southern Brown Tree Frog,,-38.3809,145.02607
Southern Brown Tree Frog,,-38.2101,145.10928
Southern Brown Tree Frog,,-38.2101,145.10928
Agile Antechinus,,-37.9227,145.365
Agile Antechinus,,-38.1847,146.33583
Southern Brown Tree Frog,,-38.1847,146.33583
Agile Antechinus,,-37.5043,145.57868
Agile Antechinus,,-37.6718,146.34934
Agile Antechinus,,-38.5564,143.93961
Agile Antechinus,,-37.4944,144.2941
Agile Antechinus,,-37.4501,144.33941
Agile Antechinus,,-38.3482,147.04577
Brown Treecreeper,,-36.2236,146.23113
Southern Brown Tree Frog,,-38.1371,146.83935
Brown Treecreeper,,-36.8028,143.43083
Brown Treecreeper,,-36.7933,143.41083
Agile Antechinus,,-37.3901,144.216
Agile Antechinus,,-37.3299,144.2635
Brown Treecreeper,,-36.9556,144.48472
Brown Treecreeper,,-36.23333,146.23333
Brown Treecreeper,,-36.4583,141.675
Brown Treecreeper,,-36.4583,141.675
Brown Treecreeper,,-34.3717,141.23333
White-browed Treecreeper,,-34.41667,141.43333
Brown Treecreeper,,-36.4583,141.675
Brown Treecreeper,,-36.4583,141.675
Brown Treecreeper,,-34.28333,142.1
Brown Treecreeper,,-36.4583,141.675
Brown Treecreeper,,-36.5833,145.0167
White-browed Treecreeper,,-34.41667,141.43333
Brown Treecreeper,,-36.5833,145.0167
Brown Treecreeper,,-36.23333,141.84167
Brown Treecreeper,,-34.16722,141.44298
Common Beard-heath,,-37.33725,142.221
Common Beard-heath,,-37.40901,144.66647
Agile Antechinus,,-37.64798,145.94404
Agile Antechinus,,-37.7143,146.24515
Southern Brown Tree Frog,,-37.64192,145.93203
Agile Antechinus,,-37.07023,148.84931
Agile Antechinus,,-37.55146,149.11795
Agile Antechinus,,-37.48178,149.54947
Southern Brown Tree Frog,,-37.8759,145.59006
Agile Antechinus,,-37.6524,148.85809
Agile Antechinus,,-37.68142,148.7084
Agile Antechinus,,-37.22558,148.87287
Agile Antechinus,,-37.70683,149.21139
Agile Antechinus,,-37.62981,148.49073
Agile Antechinus,,-37.3209,148.95045
Brown Treecreeper,,-35.84583,142.89444
Brown Treecreeper,,-37.64182,144.49133
Brown Treecreeper,,-36.63181,145.18463
Brown Treecreeper,,-37.19322,143.42329
Brown Treecreeper,,-36.17667,146.51361
Brown Treecreeper,,-36.54083,146.18583
Brown Treecreeper,,-35.66404,143.6427
Brown Treecreeper,,-37.07043,144.16659
Brown Treecreeper,,-37.24796,141.8447
Brown Treecreeper,,-36.35681,144.70408
Brown Treecreeper,,-37.15766,143.75438
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-36.83738,143.78271
Brown Treecreeper,,-36.15,146.63333
Brown Treecreeper,,-36.97555,141.76277
Brown Treecreeper,,-36.76083,141.92083
Brown Treecreeper,,-36.57805,141.97055
Brown Treecreeper,,-37.49833,142.34971
Brown Treecreeper,,-37.01656,142.3819
Brown Treecreeper,,-36.70944,142.22027
Brown Treecreeper,,-36.77277,142.07278
Brown Treecreeper,,-37.01388,144.88806
Brown Treecreeper,,-36.54805,146.15306
Brown Treecreeper,,-37.15766,143.75438
Brown Treecreeper,,-36.97404,144.71936
Brown Treecreeper,,-36.78462,141.75774
Brown Treecreeper,,-37.01573,142.3819
Brown Treecreeper,,-37.49832,142.34971
Brown Treecreeper,,-36.50583,146.20555
Brown Treecreeper,,-37.56935,142.04663
Brown Treecreeper,,-37.14071,144.25938
Brown Treecreeper,,-36.24263,146.62684
Brown Treecreeper,,-34.55806,141.11361
Brown Treecreeper,,-36.21611,144.41
Brown Treecreeper,,-36.51517,142.02274
Brown Treecreeper,,-34.63861,141.83223
Brown Treecreeper,,-36.44768,141.79801
Brown Treecreeper,,-36.775,143.43194
Brown Treecreeper,,-34.92555,142.81388
Brown Treecreeper,,-37.15766,143.75438
Brown Treecreeper,,-36.77861,141.86084
Brown Treecreeper,,-36.15889,146.64138
Brown Treecreeper,,-34.33239,142.12269
Brown Treecreeper,,-36.40681,144.69297
Brown Treecreeper,,-37.15766,143.75438
Brown Treecreeper,,-36.55374,146.1599
Brown Treecreeper,,-37.01656,142.3819
Agile Antechinus,,-37.91,147.28242
Brown Treecreeper,,-34.134977,141.348638
Brown Treecreeper,,-34.133825,142.036022
Common Beard-heath,,-36.78874,144.350473
Agile Antechinus,,-37.874836,141.441882
Agile Antechinus,,-38.202718,141.700092
Agile Antechinus,,-38.12024,141.421669
Southern Brown Tree Frog,,-37.955398,145.306433
Southern Brown Tree Frog,,-38.055076,145.366754
Southern Brown Tree Frog,,-37.576789,144.742981
Southern Brown Tree Frog,,-37.599883,144.721404
Agile Antechinus,,-37.496273,145.420202
Agile Antechinus,,-37.495793,145.419986
Agile Antechinus,,-37.476247,145.420183
Agile Antechinus,,-37.495752,145.419659
Southern Brown Tree Frog,,-38.224543,147.301568
Southern Brown Tree Frog,,-37.682778,143.838056
Brown Treecreeper,,-36.9478,143.33333
Agile Antechinus,,-38.150589,145.192877
Agile Antechinus,,-38.150589,145.192877
Southern Brown Tree Frog,,-38.150589,145.192877
Agile Antechinus,,-37.4733,144.3854
Southern Brown Tree Frog,,-37.8887,145.39766
Agile Antechinus,,-38.035807,146.514682
Agile Antechinus,,-38.115961,146.504832
Agile Antechinus,,-38.115773,146.507297
Agile Antechinus,,-37.461,144.353
Brown Treecreeper,,-34.366252,141.335786
Agile Antechinus,,-37.802968,145.738287
Agile Antechinus,,-37.802231,145.710141
Agile Antechinus,,-37.645957,145.918896
Agile Antechinus,,-37.567848,145.778328
Agile Antechinus,,-37.673571,145.738146
Agile Antechinus,,-37.5107,145.541
Southern Brown Tree Frog,,-38.395,144.22583
Agile Antechinus,,-37.782219,148.785262
Agile Antechinus,,-37.671408,148.877286
Agile Antechinus,,-37.652758,148.629005
Agile Antechinus,,-37.598896,148.181184
Agile Antechinus,,-37.409266,149.550296
Southern Brown Tree Frog,,-37.6383,144.96778
Agile Antechinus,,-38.004096,147.585116
Southern Brown Tree Frog,,-37.986758,145.538036
Brown Treecreeper,,-36.8814,143.26611
Common Beard-heath,,-37.17939,142.36821
Agile Antechinus,,-37.864488,145.503589
Agile Antechinus,,-38.353556,145.618524
Agile Antechinus,,-37.4308,144.3062
Agile Antechinus,,-36.898462,145.894867
Brown Treecreeper,,-36.7844,143.40528
Agile Antechinus,,-37.645148,145.457765
Brown Treecreeper,,-36.9489,143.33167
White-browed Treecreeper,,-34.395321,141.379447
Southern Brown Tree Frog,,-38.419297,144.929792
Southern Brown Tree Frog,,-37.607317,144.137228
Agile Antechinus,,-37.766123,145.930353
Agile Antechinus,,-37.2846,144.3182
Agile Antechinus,,-37.384886,145.600701
Agile Antechinus,,-37.798682,145.981712
Common Beard-heath,,-37.15306,141.13528
Common Beard-heath,,-37.42306,144.62611
Common Beard-heath,,-38.06361,147.55667
Common Beard-heath,,-38.06278,147.55806
Common Beard-heath,,-38.15028,147.42333
Brown Treecreeper,,-37.22267,144.04555
Brown Treecreeper,,-36.26476,143.20716
Brown Treecreeper,,-36.63817,141.97289
Brown Treecreeper,,-35.97259,141.89145
Southern Brown Tree Frog,,-37.84191,140.97355
Brown Treecreeper,,-35.9756,143.47519
Southern Brown Tree Frog,,-36.773,144.23206
Southern Brown Tree Frog,,-38.92929,146.29581
Brown Treecreeper,,-36.52601,145.71171
Brown Treecreeper,,-36.17784,144.21648
Southern Brown Tree Frog,,-37.78915,145.0212
Southern Brown Tree Frog,,-37.78915,145.0212
Southern Brown Tree Frog,,-37.78915,145.0212
Southern Brown Tree Frog,,-38.37565,141.61677
Agile Antechinus,,-37.37508,142.21498
Agile Antechinus,,-37.42894,144.55497
Brown Treecreeper,,-36.40613,142.29563
Brown Treecreeper,,-36.51378,145.30989
Brown Treecreeper,,-37.88986,144.21007
Brown Treecreeper,,-35.90036,144.42342
Brown Treecreeper,,-36.93511,145.15467
Brown Treecreeper,,-36.1365,146.59279
Southern Brown Tree Frog,,-37.71394,145.98185
Southern Brown Tree Frog,,-37.25917,143.24036
Southern Brown Tree Frog,,-37.25917,143.24036
Brown Treecreeper,,-34.66179,142.27333
Brown Treecreeper,,-36.12561,146.57506
Brown Treecreeper,,-36.61239,143.70222
Brown Treecreeper,,-36.70255,144.93413
Agile Antechinus,,-37.81322,145.8044
Agile Antechinus,,-37.51009,145.53771
Southern Brown Tree Frog,,-37.12507,142.55318
Brown Treecreeper,,-37.12507,142.55318
Agile Antechinus,,-37.97081,147.63146
Agile Antechinus,,-37.97081,147.63146
Agile Antechinus,,-38.33028,146.91261
Agile Antechinus,,-38.33028,146.91261
Agile Antechinus,,-38.33028,146.91261
Agile Antechinus,,-38.32758,146.91834
Agile Antechinus,,-38.32758,146.91834
Agile Antechinus,,-38.3257,146.84283
Agile Antechinus,,-38.3257,146.84283
Agile Antechinus,,-38.3257,146.84283
Agile Antechinus,,-38.25073,147.25215
Agile Antechinus,,-38.25073,147.25215
Agile Antechinus,,-38.25073,147.25215
Agile Antechinus,,-38.25073,147.25215
Brown Treecreeper,,-35.47295,143.45968
Agile Antechinus,,-38.18071,141.66764
Agile Antechinus,,-38.18071,141.66764
Agile Antechinus,,-38.18071,141.66764
Agile Antechinus,,-38.18071,141.66764
Agile Antechinus,,-38.18071,141.66764
Agile Antechinus,,-38.18071,141.66764
Agile Antechinus,,-38.18071,141.66764
Agile Antechinus,,-38.18071,141.66764
Southern Brown Tree Frog,,-38.00761,145.69304
Agile Antechinus,,-38.48161,144.0189
Agile Antechinus,,-38.12171,141.73784
Agile Antechinus,,-38.12171,141.73784
Agile Antechinus,,-38.12171,141.73784
Agile Antechinus,,-38.12171,141.73784
Brown Treecreeper,,-36.01131,144.99338
Brown Treecreeper,,-36.21876,145.81355
Southern Brown Tree Frog,,-37.18975,145.65883
Brown Treecreeper,,-36.77372,144.98488
Brown Treecreeper,,-36.74957,144.94295
Southern Brown Tree Frog,,-38.26641,145.05404
Southern Brown Tree Frog,,-38.5293,142.73777
Southern Brown Tree Frog,,-38.52388,142.73879
Southern Brown Tree Frog,,-38.26486,145.573
Agile Antechinus,,-38.13866,145.72722
Agile Antechinus,,-37.61443,145.31928
Agile Antechinus,,-37.61443,145.31928
Brown Treecreeper,,-36.12844,146.61061
Agile Antechinus,,-37.94684,145.65884
Agile Antechinus,,-37.57138,145.33383
Agile Antechinus,,-37.57138,145.33383
Agile Antechinus,,-37.25238,143.21761
Agile Antechinus,,-37.89554,145.58812
Brown Treecreeper,,-36.3975,144.36473
Southern Brown Tree Frog,,-37.81723,141.28601
Southern Brown Tree Frog,,-38.35748,142.45097
Southern Brown Tree Frog,,-38.22374,144.42922
Southern Brown Tree Frog,,-38.18251,146.99843
Agile Antechinus,,-38.45771,143.58865
Southern Brown Tree Frog,,-38.51767,143.98414
Brown Treecreeper,,-37.25986,143.72294
Brown Treecreeper,,-36.82422,144.14951
Brown Treecreeper,,-36.73816,144.66666
Brown Treecreeper,,-37.06983,142.70277
Agile Antechinus,,-37.39482,146.211
Agile Antechinus,,-37.39482,146.211
Brown Treecreeper,,-34.47631,141.09771
Agile Antechinus,,-37.93916,145.47235
Agile Antechinus,,-37.93916,145.47235
Agile Antechinus,,-37.93916,145.47235
Agile Antechinus,,-37.64961,148.74074
Agile Antechinus,,-36.74705,147.86884
Agile Antechinus,,-36.70527,147.91092
Agile Antechinus,,-37.5972,149.54254
Agile Antechinus,,-37.5972,149.54254
Agile Antechinus,,-37.59779,149.63883
Agile Antechinus,,-37.59779,149.63883
Agile Antechinus,,-37.25539,148.76545
Agile Antechinus,,-37.25539,148.76545
Agile Antechinus,,-37.25539,148.76545
Agile Antechinus,,-37.25539,148.76545
Agile Antechinus,,-37.32902,148.7841
Agile Antechinus,,-37.32902,148.7841
Agile Antechinus,,-37.53877,149.07429
Agile Antechinus,,-37.53877,149.07429
Agile Antechinus,,-37.53877,149.07429
Agile Antechinus,,-37.53877,149.07429
Agile Antechinus,,-37.55575,149.08269
Agile Antechinus,,-37.43505,146.47621
Southern Brown Tree Frog,,-37.93878,146.28375
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.92023,146.34878
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.94247,146.29737
Agile Antechinus,,-37.81743,146.33832
Agile Antechinus,,-37.81743,146.33832
Agile Antechinus,,-37.8258,145.80079
Agile Antechinus,,-37.8258,145.80079
Agile Antechinus,,-37.8258,145.80079
Agile Antechinus,,-37.8258,145.80079
Agile Antechinus,,-37.8258,145.80079
Southern Brown Tree Frog,,-37.93788,146.28262
Southern Brown Tree Frog,,-37.93788,146.28262
Southern Brown Tree Frog,,-37.86822,146.24236
Southern Brown Tree Frog,,-37.92987,146.29976
Southern Brown Tree Frog,,-37.92987,146.29976
Agile Antechinus,,-37.81645,145.85775
Brown Treecreeper,,-37.68035,145.091
Brown Treecreeper,,-37.61141,144.62037
Agile Antechinus,,-38.35063,145.02547
Brown Treecreeper,,-37.63104,145.10699
Brown Treecreeper,,-37.64966,144.8277
Agile Antechinus,,-37.56387,145.37702
Agile Antechinus,,-37.76767,146.76
Agile Antechinus,,-37.76767,146.76
Agile Antechinus,,-37.76767,146.76
Agile Antechinus,,-37.64741,146.61642
Agile Antechinus,,-37.64741,146.61642
Agile Antechinus,,-38.45897,146.77263
Agile Antechinus,,-38.28753,146.68283
Agile Antechinus,,-38.28753,146.68283
Agile Antechinus,,-38.28753,146.68283
Agile Antechinus,,-38.28753,146.68283
Agile Antechinus,,-38.28753,146.68283
Agile Antechinus,,-38.28753,146.68283
Southern Brown Tree Frog,,-37.81018,147.14953
Brown Treecreeper,,-36.20893,146.69587
Agile Antechinus,,-36.53962,147.88216
Brown Treecreeper,,-37.23898,142.72348
Southern Brown Tree Frog,,-36.73425,142.45231
Agile Antechinus,,-37.75419,148.67622
Agile Antechinus,,-37.50862,149.29179
Agile Antechinus,,-37.79555,148.40798
Agile Antechinus,,-37.79555,148.40798
Agile Antechinus,,-37.79555,148.40798
Agile Antechinus,,-37.79555,148.40798
Agile Antechinus,,-37.79555,148.40798
Agile Antechinus,,-37.79555,148.40798
Agile Antechinus,,-37.79555,148.40798
Agile Antechinus,,-37.79555,148.40798
Brown Treecreeper,,-36.09778,145.10003
Brown Treecreeper,,-36.09778,145.10003
Brown Treecreeper,,-36.11723,145.19178
Brown Treecreeper,,-36.61573,145.94392
Brown Treecreeper,,-36.08183,144.31425
Brown Treecreeper,,-36.07618,144.99173
Brown Treecreeper,,-36.07618,144.99173
Brown Treecreeper,,-36.07618,144.99173
Agile Antechinus,,-37.67947,145.53326
Agile Antechinus,,-37.67947,145.53326
Agile Antechinus,,-36.843,145.68398
Brown Treecreeper,,-36.76522,144.91005
Brown Treecreeper,,-36.78648,143.01249
Brown Treecreeper,,-36.79874,143.86451
Brown Treecreeper,,-36.77847,143.25766
Brown Treecreeper,,-36.77847,143.25766
Brown Treecreeper,,-36.79385,143.25475
Brown Treecreeper,,-36.79385,143.25475
Brown Treecreeper,,-36.79385,143.25475
Brown Treecreeper,,-36.69304,143.24732
Brown Treecreeper,,-36.72756,144.82037
Brown Treecreeper,,-36.72756,144.82037
Brown Treecreeper,,-36.70231,143.23416
Brown Treecreeper,,-36.73745,144.81897
Brown Treecreeper,,-36.68064,143.23577
Brown Treecreeper,,-36.82277,143.80152
Brown Treecreeper,,-36.96064,144.65988
Brown Treecreeper,,-36.96064,144.65988
Brown Treecreeper,,-36.91412,144.03058
Brown Treecreeper,,-36.9177,144.02932
Brown Treecreeper,,-36.68064,143.23577
Brown Treecreeper,,-36.88189,143.6197
Brown Treecreeper,,-36.74291,144.82218
Brown Treecreeper,,-36.88189,143.6197
Brown Treecreeper,,-36.60676,143.32866
Brown Treecreeper,,-36.60676,143.32866
Brown Treecreeper,,-36.69437,143.22498
Brown Treecreeper,,-36.69437,143.22498
Brown Treecreeper,,-36.91639,143.64894
Brown Treecreeper,,-36.93002,143.68421
Brown Treecreeper,,-37.99635,146.65903
Brown Treecreeper,,-37.00979,144.2617
Brown Treecreeper,,-37.18118,143.95999
Brown Treecreeper,,-36.2868,143.41931
Brown Treecreeper,,-37.01451,142.38232
Brown Treecreeper,,-36.81256,141.64884
Brown Treecreeper,,-34.60807,142.32159
Brown Treecreeper,,-36.86667,143.85023
Brown Treecreeper,,-36.87295,143.85158
Brown Treecreeper,,-36.78162,142.06435
Brown Treecreeper,,-37.44773,143.36805
Brown Treecreeper,,-37.01631,142.38235
Brown Treecreeper,,-36.60293,144.61932
Brown Treecreeper,,-34.74764,142.41885
Brown Treecreeper,,-36.86933,143.73704
Brown Treecreeper,,-36.59615,142.67218
Brown Treecreeper,,-37.14553,145.01334
Brown Treecreeper,,-36.34188,146.2017
Brown Treecreeper,,-37.21454,141.08535
Brown Treecreeper,,-37.01631,142.38235
Brown Treecreeper,,-36.36068,143.59208
Brown Treecreeper,,-35.11572,141.80849
Brown Treecreeper,,-36.22016,146.1996
Brown Treecreeper,,-34.46502,141.75208
Brown Treecreeper,,-36.78486,141.75844
Brown Treecreeper,,-37.01631,142.38235
Brown Treecreeper,,-36.341,146.20505
Brown Treecreeper,,-36.773,141.90736
Brown Treecreeper,,-36.77979,143.67224
Brown Treecreeper,,-37.01631,142.38235
Brown Treecreeper,,-36.60928,143.75912
Brown Treecreeper,,-37.45527,148.83797
Brown Treecreeper,,-36.86667,143.85023
Brown Treecreeper,,-37.01631,142.38235
Brown Treecreeper,,-36.60293,144.61932
Brown Treecreeper,,-36.60293,144.61932
Brown Treecreeper,,-36.86667,143.85023
Brown Treecreeper,,-36.09634,144.9057
Brown Treecreeper,,-36.15788,144.86849
Brown Treecreeper,,-36.41269,146.02475
Brown Treecreeper,,-36.3809,146.61828
Brown Treecreeper,,-34.76482,142.33501
Brown Treecreeper,,-37.17017,143.54179
Brown Treecreeper,,-36.16458,146.63489
Brown Treecreeper,,-36.07229,146.19777
Brown Treecreeper,,-36.07678,146.19439
Brown Treecreeper,,-35.83928,145.0575
Brown Treecreeper,,-35.85096,145.05501
Brown Treecreeper,,-36.14884,146.18476
Brown Treecreeper,,-36.07229,146.19777
Brown Treecreeper,,-36.05509,146.18684
Brown Treecreeper,,-35.85096,145.05501
Brown Treecreeper,,-35.88715,145.06298
Brown Treecreeper,,-35.88715,145.06298
Brown Treecreeper,,-35.85096,145.05501
Brown Treecreeper,,-37.11608,144.03508
Brown Treecreeper,,-36.09898,145.11888
Brown Treecreeper,,-36.12261,145.13165
Brown Treecreeper,,-36.83183,144.48667
Brown Treecreeper,,-36.7738,144.42808
Southern Brown Tree Frog,,-38.22763,146.3609
Agile Antechinus,,-38.01702,145.64845
Southern Brown Tree Frog,,-38.37507,142.55549
Southern Brown Tree Frog,,-38.25654,142.12323
Southern Brown Tree Frog,,-38.36513,145.59278
Southern Brown Tree Frog,,-36.8976,144.80432
Brown Treecreeper,,-36.8976,144.80432
Agile Antechinus,,-37.27887,144.09523
Agile Antechinus,,-37.30015,144.1181
Southern Brown Tree Frog,,-37.5314,144.97347
Brown Treecreeper,,-36.72757,145.03633
Brown Treecreeper,,-36.80467,145.06574
Brown Treecreeper,,-36.44634,141.79841
Brown Treecreeper,,-36.33947,141.98564
Brown Treecreeper,,-35.85859,143.85621
Agile Antechinus,,-37.29207,144.11953
Agile Antechinus,,-37.29207,144.11953
Agile Antechinus,,-37.29207,144.11953
Brown Treecreeper,,-37.07102,142.68551
Brown Treecreeper,,-36.8061,143.45786
Brown Treecreeper,,-36.88557,142.83004
Southern Brown Tree Frog,,-38.5439,146.31239
Southern Brown Tree Frog,,-38.28138,146.00951
Brown Treecreeper,,-36.62687,144.79158
Southern Brown Tree Frog,,-38.16045,145.1662
Southern Brown Tree Frog,,-37.42965,143.13469
Southern Brown Tree Frog,,-37.39014,144.26485
Agile Antechinus,,-38.19447,146.39545
Agile Antechinus,,-38.19447,146.39545
Southern Brown Tree Frog,,-38.19447,146.39545
Agile Antechinus,,-38.19448,146.39773
Agile Antechinus,,-38.19448,146.39773
Southern Brown Tree Frog,,-38.19448,146.39773
Brown Treecreeper,,-36.16146,146.55163
Agile Antechinus,,-38.04361,141.16181
Agile Antechinus,,-38.20272,141.70009
Agile Antechinus,,-38.20272,141.70009
Agile Antechinus,,-38.19747,141.72437
Agile Antechinus,,-37.98443,141.55467
Agile Antechinus,,-38.22858,141.68751
Brown Treecreeper,,-35.66441,143.32872
Brown Treecreeper,,-36.3805,146.0872
Brown Treecreeper,,-36.3805,146.0872
Southern Brown Tree Frog,,-37.78044,143.60545
Southern Brown Tree Frog,,-37.78044,143.60545
Southern Brown Tree Frog,,-37.78044,143.60545
Southern Brown Tree Frog,,-37.81177,143.92116
Southern Brown Tree Frog,,-38.5289,146.32599
Brown Treecreeper,,-37.25307,141.91929
Southern Brown Tree Frog,,-37.60132,145.3771
Southern Brown Tree Frog,,-37.38884,144.26659
Southern Brown Tree Frog,,-38.54369,143.96969
Agile Antechinus,,-38.33912,147.04455
Agile Antechinus,,-38.33912,147.04455
Agile Antechinus,,-38.33912,147.04455
Agile Antechinus,,-37.0338,142.46302
Southern Brown Tree Frog,,-38.47057,146.56248
Southern Brown Tree Frog,,-37.96797,145.64241
Southern Brown Tree Frog,,-37.81569,145.33804
Southern Brown Tree Frog,,-37.81569,145.33804
Southern Brown Tree Frog,,-37.81942,145.27252
Southern Brown Tree Frog,,-38.21553,146.37071
Southern Brown Tree Frog,,-37.23321,146.21208
Agile Antechinus,,-37.45135,147.76218
Southern Brown Tree Frog,,-38.54396,146.31232
Southern Brown Tree Frog,,-38.18901,145.55932
Southern Brown Tree Frog,,-38.18419,145.56301
Southern Brown Tree Frog,,-37.23495,141.95862
Agile Antechinus,,-37.68252,143.72701
Agile Antechinus,,-37.30288,144.1005
Agile Antechinus,,-37.43443,146.14573
Agile Antechinus,,-37.47302,146.13843
Agile Antechinus,,-37.53734,146.1804
Agile Antechinus,,-37.78154,148.878
Southern Brown Tree Frog,,-38.25964,146.00785
Agile Antechinus,,-37.8594,145.8589
Brown Treecreeper,,-36.3106,145.7247
Agile Antechinus,,-37.308,142.68782
Agile Antechinus,,-37.308,142.68782
Agile Antechinus,,-37.308,142.68782
Common Beard-heath,,-36.9787,142.33347
Brown Treecreeper,,-36.1411,145.45151
Agile Antechinus,,-38.2296,147.33375
Agile Antechinus,,-38.2397,147.31449
White-browed Treecreeper,,-38.008,145.66161
White-browed Treecreeper,,-38.00284,145.73796
White-browed Treecreeper,,-38.00284,145.73796
Southern Brown Tree Frog,,-37.4793,143.71178
Brown Treecreeper,,-37.1839,143.69418
Southern Brown Tree Frog,,-38.1492,141.3049
Southern Brown Tree Frog,,-38.1492,141.3049
Southern Brown Tree Frog,,-37.6439,141.2576
Southern Brown Tree Frog,,-37.6439,141.2576
Southern Brown Tree Frog,,-37.3052,141.3032
Southern Brown Tree Frog,,-37.3052,141.3032
Southern Brown Tree Frog,,-37.304,141.3216
Southern Brown Tree Frog,,-37.304,141.3216
Southern Brown Tree Frog,,-38.3533,144.1604
Southern Brown Tree Frog,,-38.3149,142.2691
Southern Brown Tree Frog,,-38.3149,142.2691
Southern Brown Tree Frog,,-37.7486,143.96559
Southern Brown Tree Frog,,-37.4082,143.4444
