"","lon","lat"
"1",144.04555,-37.22267
"2",145.1478,-36.9404
"3",145.77686,-36.50235
"4",144.50827,-37.64424
"5",144.84116,-36.1006
"6",142.47681,-36.84391
"7",142.22336,-34.22946
"8",144.96984,-36.70677
"9",144.21007,-37.88986
"10",145.32319,-36.41481
"11",142.67151,-34.76337
"12",146.20432,-36.08406
"13",142.72727,-37.00909
"14",146.32358,-36.16503
"15",143.69626,-36.60171
"16",145.3589,-36.51987
"17",145.9962,-36.5085
"18",144.98693,-36.00308
"19",144.98488,-36.77372
"20",144.97821,-36.77181
"21",144.97973,-36.75651
"22",144.99762,-35.93115
"23",142.06488,-34.31841
"24",143.79735,-36.95444
"25",143.50772,-36.75093
"26",143.08064,-36.779
"27",144.36356,-37.66633
"28",144.57748,-37.78085
"29",144.61701,-37.61044
"30",142.58783,-37.11379
"31",145.9585,-36.52932
"32",145.66644,-36.42996
"33",144.33467,-36.78616
"34",147.4739,-36.09207
"35",144.47324,-36.7288
"36",143.22755,-36.70603
"37",143.0087,-36.72706
"38",146.20359,-36.15618
"39",146.20359,-36.26526
"40",143.69037,-36.52884
"41",143.77872,-36.84313
"42",144.91,-36.76702
"43",143.25089,-36.70019
"44",143.28963,-36.83644
"45",143.24716,-36.68764
"46",143.20883,-36.95063
"47",143.61758,-36.88554
"48",143.22646,-36.70696
"49",143.23416,-36.70231
"50",145.00651,-36.89035
"51",143.32738,-36.60138
"52",144.82437,-36.74475
"53",143.7798,-36.84221
"54",143.54162,-36.9629
"55",143.80152,-36.82277
"56",143.22695,-36.68532
"57",144.82037,-36.72756
"58",144.83658,-36.74858
"59",143.78251,-36.82412
"60",143.68421,-36.93002
"61",144.6635,-36.9526
"62",143.33849,-36.59936
"63",143.32096,-36.79708
"64",143.6103,-36.86948
"65",143.2302,-36.68165
"66",144.81897,-36.73745
"67",144.81783,-36.73833
"68",143.2243,-36.7097
"69",143.34027,-36.584
"70",143.12665,-36.98368
"71",143.24563,-36.67325
"72",144.81549,-36.74189
"73",143.8099,-36.99019
"74",143.78264,-35.92109
"75",147.00964,-36.59787
"76",141.1778,-35.26076
"77",146.64376,-36.17002
"78",143.06897,-37.30014
"79",142.48949,-34.66655
"80",144.4075,-36.01449
"81",144.31944,-35.86294
"82",147.05225,-36.78177
"83",146.25719,-36.01227
"84",142.11821,-35.21514
"85",141.6648,-34.71622
"86",142.63296,-36.69765
"87",142.65432,-36.91008
"88",142.29214,-34.32524
"89",143.46282,-35.46748
"90",146.02475,-36.41269
"91",144.34343,-35.80759
"92",142.38235,-37.01631
"93",146.26907,-36.99768
"94",144.61932,-36.60293
"95",146.15865,-36.20004
"96",142.35602,-34.71319
"97",142.03074,-35.16182
"98",144.26037,-37.14043
"99",143.74669,-36.98176
"100",146.62948,-36.13481
"101",141.17216,-36.72405
"102",142.67218,-36.59615
"103",143.05126,-36.26213
"104",141.91189,-35.43147
"105",146.0848,-36.90085
"106",144.56838,-37.78157
"107",143.95694,-36.90011
"108",143.69745,-36.47551
"109",141.65221,-36.41498
"110",144.42635,-37.94795
"111",144.09444,-36.6796
"112",143.96702,-37.18821
"113",141.91971,-36.68186
"114",144.66572,-36.58402
"115",146.37198,-36.36814
"116",146.1851,-36.33095
"117",146.16844,-36.4309
"118",144.33981,-36.5069
"119",144.29628,-35.76237
"120",144.2474,-35.73693
"121",144.34687,-35.80406
"122",146.19439,-36.07678
"123",145.0575,-35.83928
"124",146.18684,-36.05509
"125",146.18476,-36.14884
"126",144.35628,-35.78714
"127",144.35452,-36.69738
"128",142.7452,-36.11285
"129",142.55194,-37.06469
"130",146.33523,-36.36433
"131",144.80094,-36.74162
"132",146.64159,-36.15829
"133",144.0862,-36.81392
"134",142.67258,-34.76601
"135",141.50852,-34.42643
"136",141.61473,-34.53924
"137",142.98022,-36.84771
"138",144.51612,-36.80824
"139",143.69072,-37.08346
"140",141.78498,-37.09242
"141",146.0872,-36.3805
"142",142.0869,-36.4717
"143",146.9842,-36.2358
"144",145.6582,-36.3722
"145",145.7451,-36.3447
"146",145.79744,-36.226
"147",145.31095,-36.5084
"148",142.80407,-37.116
"149",142.80525,-37.1176
"150",142.23043,-34.22879
"151",142.3325,-36.8525
"152",141.8436,-34.1439
"153",143.13782,-37.42058
"154",141.08772,-34.7107
"155",142.92496,-34.6577
"156",143.11111,-35.97917
"157",142.50694,-34.7478
"158",143.32889,-36.5831
"159",141.23333,-34.3717
"160",146.65,-36.15
"161",145.73194,-36.52083
"162",141.675,-36.4583
"163",141.84167,-36.23333
"164",142.1,-34.28333
"165",144.48472,-36.9556
"166",143.46194,-35.47139
"167",143.75305,-37.15916
"168",141.32943,-34.13777
"169",141.84774,-36.90962
"170",146.09916,-36.45916
"171",141.77,-34.81082
"172",144.72104,-36.97487
"173",144.80131,-36.87626
"174",142.3819,-37.01656
"175",143.22217,-36.75127
"176",141.70027,-34.37611
"177",144.10688,-37.10377
"178",144.49327,-37.64321
"179",146.15683,-36.55569
"180",142.18635,-37.4749
"181",144.34716,-36.88182
"182",141.74107,-36.81351
"183",144.78409,-36.92543
"184",141.94416,-36.93194
"185",146.58082,-36.19305
"186",144.72076,-36.93404
"187",143.63134,-37.16572
"188",144.0066,-37.11127
"189",141.83027,-34.63806
"190",146.63333,-36.15
"191",141.86664,-37.48935
"192",146.62666,-36.13388
"193",144.70685,-36.2707
"194",141.75774,-36.78462
"195",144.87659,-37.02431
"196",142.02833,-36.77694
"197",144.79881,-36.87626
"198",146.51554,-36.17361
"199",146.20611,-36.50222
"200",143.75438,-37.15766
"201",146.13166,-36.58694
"202",145.01129,-36.0107
"203",144.25938,-37.14071
"204",144.49133,-37.64182
"205",142.747826,-37.016384
"206",146.091674,-36.367516
"207",143.26639,-36.88
"208",143.23583,-36.8231
"209",141.97762,-36.65886
"210",141.34067,-37.34658
"211",146.09476,-36.24285
"212",146.67314,-36.32517
"213",142.24073,-34.67114
"214",146.58735,-36.11484
"215",144.56614,-37.78062
"216",143.70174,-37.10805
"217",144.94682,-36.81453
"218",146.55919,-36.18145
"219",146.58571,-36.21491
"220",144.43707,-37.90133
"221",143.36019,-35.27302
"222",145.27612,-36.07069
"223",145.24956,-36.0667
"224",145.00588,-36.78489
"225",144.24567,-36.1695
"226",142.85061,-36.90448
"227",144.94592,-36.8064
"228",143.64614,-37.06244
"229",141.12334,-34.12908
"230",144.13563,-38.05025
"231",144.38296,-35.88417
"232",144.475,-35.98528
"233",145.08398,-35.98124
"234",145.03208,-36.10569
"235",146.32853,-36.10555
"236",144.1839,-36.15635
"237",144.45394,-35.98484
"238",146.15222,-36.38301
"239",144.37988,-36.93856
"240",144.42839,-36.83148
"241",143.02094,-36.72414
"242",143.25475,-36.79385
"243",143.22109,-36.79268
"244",143.21395,-36.81715
"245",143.30923,-36.85409
"246",143.22919,-36.72403
"247",145.12057,-36.86067
"248",143.37711,-36.98163
"249",143.35543,-37.00729
"250",143.62194,-36.88184
"251",143.7272,-37.06511
"252",146.63497,-36.14835
"253",142.01803,-36.49806
"254",144.42775,-36.81705
"255",141.59957,-36.96336
"256",145.17335,-36.62173
"257",142.66109,-36.91179
"258",143.85023,-36.86667
"259",144.85942,-36.85355
"260",143.79881,-36.93278
"261",145.10144,-36.72697
"262",144.22054,-36.1572
"263",144.78179,-36.82328
"264",145.17221,-36.71726
"265",142.22649,-34.22041
"266",146.64159,-36.15919
"267",142.10157,-34.29824
"268",141.79865,-36.44655
"269",146.13529,-37.29785
"270",144.13631,-35.65953
"271",146.64725,-36.13757
"272",144.94401,-36.79375
"273",141.76294,-36.78664
"274",144.71084,-36.3803
"275",144.29395,-36.89248
"276",143.85108,-36.85944
"277",144.6758,-36.39675
"278",145.1026,-36.72518
"279",143.97138,-37.18449
"280",143.34731,-35.66269
"281",144.21883,-36.14274
"282",144.03532,-37.19628
"283",141.08535,-37.21454
"284",141.96819,-36.62018
"285",146.64271,-36.15829
"286",144.57793,-36.8887
"287",144.1698,-37.87268
"288",144.18194,-35.74352
"289",143.67908,-37.1356
"290",143.86217,-36.22023
"291",141.92065,-36.76028
"292",141.8064,-36.76291
"293",143.75528,-37.15728
"294",141.99468,-35.44524
"295",146.16306,-36.20368
"296",146.61828,-36.3809
"297",145.01705,-35.9522
"298",144.99903,-35.91945
"299",146.19892,-36.06869
"300",146.57937,-36.15268
"301",144.1625,-37.07865
"302",142.99157,-36.27847
"303",146.178,-36.05142
"304",145.06298,-35.88715
"305",144.26242,-35.78234
"306",143.08541,-36.74827
"307",146.13617,-36.22152
"308",143.54729,-36.49053
"309",143.15246,-37.18149
"310",143.82067,-36.11758
"311",145.13229,-36.09558
"312",144.48667,-36.83183
"313",144.67745,-36.78884
"314",141.57762,-34.48735
"315",144.65126,-36.91954
"316",144.72249,-36.96199
"317",144.6704,-36.78578
"318",144.35232,-36.69673
"319",146.55501,-36.13456
"320",146.64135,-36.05853
"321",144.41406,-35.92565
"322",141.98897,-37.29768
"323",146.56889,-36.13867
"324",146.6999,-36.1065
"325",145.7815,-36.3215
"326",145.3106,-36.8206
"327",145.6531,-37.0272
"328",145.45151,-36.1411
"329",141.19773,-34.1143
"330",143.26611,-36.8814
"331",141.268488,-36.705113
"332",146.24645,-36.01729
"333",141.2333,-34.3666
"334",144.51667,-36.8
"335",146.61667,-36.1
"336",144.49065,-35.96374
"337",144.62048,-36.60515
"338",141.7166,-35.05851
"339",146.18472,-36.52055
"340",144.42991,-36.54154
"341",143.24717,-36.8735
"342",143.24716,-36.72905
"343",144.42634,-37.94849
"344",143.40638,-37.04
"345",145.10213,-36.7257
"346",144.05911,-37.0696
"347",144.18472,-35.68472
"348",143.46325,-35.46988
"349",143.46417,-35.47139
"350",144.24333,-36.16805
"351",144.21799,-37.84849
"352",144.74019,-36.25403
"353",145.25054,-35.86444
"354",145.28334,-37.63333
"355",144.94749,-36.95388
"356",143.43139,-36.785
"357",141.9875,-36.45305
"358",144.66908,-36.89959
"359",146.46861,-36.13055
"360",143.0205,-36.83878
"361",143.64166,-37.20944
"362",143.41861,-37.07805
"363",144.24972,-36.16027
"364",143.58465,-36.60932
"365",144.26075,-35.9257
"366",144.50133,-37.66932
"367",144.64547,-36.4957
"368",146.64193,-36.16027
"369",144.00966,-37.11682
"370",143.46353,-35.4696
"371",143.54354,-36.28682
"372",141.98056,-36.45194
"373",144.45242,-36.54043
"374",141.86027,-36.78111
"375",144.71936,-36.97404
"376",146.62722,-36.13694
"377",143.33167,-36.9489
"378",143.40389,-36.7861
"379",143.41083,-36.7933
"380",146.472482,-36.551176
"381",141.97341,-36.94556
"382",144.25224,-37.85661
"383",141.83104,-36.76184
"384",146.73651,-36.36499
"385",146.58512,-36.11483
"386",142.95831,-37.03434
"387",144.25231,-37.85481
"388",146.66567,-36.24761
"389",146.69587,-36.20893
"390",143.78864,-36.80775
"391",146.57506,-36.12561
"392",143.75443,-37.28887
"393",144.95349,-36.69026
"394",143.95579,-38.35712
"395",145.68432,-36.0966
"396",145.50702,-36.13239
"397",142.58917,-37.12369
"398",142.01173,-35.57493
"399",144.38975,-36.91265
"400",143.69076,-37.08397
"401",142.73483,-37.24242
"402",142.46816,-36.74307
"403",142.72968,-36.91712
"404",142.66855,-36.84228
"405",141.09662,-34.4691
"406",147.93643,-36.68614
"407",141.10607,-34.19583
"408",140.96716,-34.16972
"409",141.06159,-34.22562
"410",145.11497,-37.62937
"411",144.50547,-37.89649
"412",144.9042,-37.4681
"413",145.38743,-37.44865
"414",144.52645,-37.60858
"415",145.2085,-37.60379
"416",144.4981,-35.99118
"417",145.05447,-36.05378
"418",145.3183,-36.69237
"419",144.44763,-35.93964
"420",144.43679,-35.9322
"421",144.99336,-36.01221
"422",144.99173,-36.07618
"423",145.10003,-36.09778
"424",145.73416,-36.51904
"425",145.91152,-36.53431
"426",145.69877,-36.43121
"427",144.42808,-36.7738
"428",142.41667,-37.22953
"429",144.72115,-36.86449
"430",143.25766,-36.77847
"431",145.11722,-36.85971
"432",143.31651,-36.79807
"433",144.85527,-36.68042
"434",143.31662,-36.80167
"435",145.12279,-36.8616
"436",143.24349,-36.67689
"437",143.7893,-36.82576
"438",143.23577,-36.68064
"439",144.85215,-36.75247
"440",144.75625,-36.73808
"441",144.90995,-36.8923
"442",143.33092,-36.60762
"443",143.77415,-36.8099
"444",144.4872,-36.9526
"445",146.25327,-37.23375
"446",142.3373,-34.70348
"447",144.33506,-37.54404
"448",146.65159,-36.16012
"449",142.47932,-36.74113
"450",143.69368,-36.59185
"451",146.16416,-36.20459
"452",142.49938,-34.67003
"453",142.20544,-34.49475
"454",146.63739,-36.10598
"455",143.77128,-36.97848
"456",142.57002,-37.01398
"457",143.69175,-37.08034
"458",143.42644,-36.80128
"459",144.23479,-36.1314
"460",141.79753,-36.44565
"461",144.22416,-36.14917
"462",142.01389,-35.57131
"463",141.72585,-36.77515
"464",141.66615,-35.15446
"465",141.97692,-35.6167
"466",146.15183,-36.21352
"467",142.03476,-37.32813
"468",143.6965,-36.8964
"469",141.75844,-36.78486
"470",141.85714,-37.09248
"471",142.5801,-37.01204
"472",147.81822,-35.98113
"473",143.34975,-35.67075
"474",148.326,-36.95016
"475",144.21617,-36.12375
"476",144.23688,-36.16659
"477",146.16552,-36.28664
"478",146.09557,-36.269
"479",142.19528,-35.07555
"480",144.77973,-36.81693
"481",142.47543,-36.65464
"482",143.89196,-36.30423
"483",143.69241,-36.29718
"484",143.68593,-36.88312
"485",141.40008,-35.96712
"486",146.16815,-36.24789
"487",141.58412,-34.26754
"488",144.56056,-36.83517
"489",144.66554,-36.73814
"490",145.06087,-35.83754
"491",144.29195,-35.75957
"492",145.01397,-35.89807
"493",146.19246,-36.04882
"494",141.04903,-36.81341
"495",145.01405,-37.24739
"496",144.69284,-36.7612
"497",144.66529,-36.59844
"498",145.07551,-36.77883
"499",144.72131,-36.85909
"500",143.22978,-36.72254
"501",142.97466,-36.82745
"502",143.44322,-36.77468
"503",142.68106,-34.75354
"504",141.44151,-34.45708
"505",146.59303,-36.10296
"506",143.72414,-36.12072
"507",146.084,-36.6509
"508",146.61047,-36.12754
"509",145.6895,-36.4029
"510",147.1114,-36.0759
"511",145.7656,-36.3447
"512",147.42011,-35.9556
"513",143.43583,-37.1856
"514",141.00546,-34.6479
"515",142.35678,-34.6075
"516",146.16503,-36.2048
"517",143.40528,-36.7844
"518",144.98333,-37.2
"519",144.06667,-37.16667
"520",141.61326,-34.15455
"521",143.4405,-37.17155
