"","lon","lat"
"246",142.28943,-37.79177
"247",145.5675,-38.63022
"248",143.20031,-37.69154
"249",145.271,-37.47269
"250",146.70195,-36.35862
"251",145.41131,-37.58516
"252",141.60006,-38.38622
"253",143.1574,-37.4239
"254",148.78878,-37.5772
"255",146.80615,-37.8728
"256",145.2935,-38.0274
"257",145.27989,-38.0213
"258",144.2014,-37.6668
"259",145.18694,-38.3214
"260",142.85487,-37.145
"261",146.35809,-38.0547
"262",146.37885,-38.0562
"263",141.2406,-37.6167
"264",141.2296,-37.5337
"266",143.6399,-37.6433
"267",143.7275,-37.7884
"268",143.7268,-37.7049
"269",143.96154,-37.7551
"270",143.674,-38.3527
"271",144.29933,-36.8239
"272",141.96589,-37.3118
"273",145.34887,-38.0764
"274",146.89659,-38.2605
"275",146.52705,-38.5051
"276",143.37386,-38.5821
"277",143.21644,-38.31487
"278",147.10964,-37.7246
"279",145.02806,-37.78746
"280",145.04511,-37.78684
"281",141.62253,-38.38013
"282",143.39941,-38.34911
"284",145.45896,-37.54333
"285",145.85342,-37.65508
"286",145.83183,-37.87478
"287",143.22001,-37.21899
"288",144.041,-37.96682
"289",144.84818,-37.76448
"290",142.55185,-37.06019
"291",145.62145,-37.81573
"293",145.73834,-37.95673
"295",145.77223,-37.90392
"296",145.85115,-37.94887
"297",146.29396,-37.94155
"298",146.37652,-37.86811
"299",145.86343,-37.81651
"300",146.42313,-38.01436
"301",143.76944,-37.72645
"302",149.80207,-37.48139
"303",148.20886,-37.77343
"304",146.8008,-38.63205
"305",142.03562,-38.20417
"306",142.23916,-38.3527
"307",145.30777,-38.5176
"308",141.80813,-38.02342
"309",145.51378,-38.12172
"310",146.37129,-38.21507
"311",146.37239,-38.22049
"312",145.56572,-38.63334
"313",145.42765,-38.07821
"314",142.26231,-38.31594
"315",145.4613,-38.09141
"316",145.503,-38.17535
"317",141.36619,-38.22418
"318",145.58253,-37.22568
"319",146.53119,-36.93035
"320",144.30537,-37.06842
"321",142.69609,-37.30109
"322",146.36605,-38.0521
"323",141.5235,-38.2385
"324",141.467,-38.3261
"325",141.6695,-38.0425
"326",141.1319,-37.3602
"327",141.3783,-37.3051
"328",141.3246,-37.2857
"329",141.3798,-37.363
"330",143.5238,-38.4954
"331",143.5786,-37.6416
"332",143.7298,-37.6975
"333",141.6518,-38.1782
"334",143.55129,-37.8746
"335",143.4326,-37.4164
"337",142.02896,-37.4434
"338",146.00163,-38.3041
"339",147.16914,-37.7766
"340",140.97355,-37.84191
"341",144.23206,-36.773
"342",146.29581,-38.92929
"343",145.0212,-37.78915
"344",141.61677,-38.37565
"345",145.98185,-37.71394
"346",143.24036,-37.25917
"347",142.55318,-37.12507
"348",145.69304,-38.00761
"349",145.65883,-37.18975
"350",145.05404,-38.26641
"352",145.573,-38.26486
"353",141.28601,-37.81723
"354",144.42922,-38.22374
"355",146.99843,-38.18251
"356",143.98414,-38.51767
"357",146.28375,-37.93878
"358",146.28262,-37.93788
"359",146.24236,-37.86822
"360",146.29976,-37.92987
"361",147.14953,-37.81018
"362",142.45231,-36.73425
"363",146.3609,-38.22763
"364",142.55549,-38.37507
"365",142.12323,-38.25654
"366",145.59278,-38.36513
"367",144.80432,-36.8976
"368",144.97347,-37.5314
"369",146.31239,-38.5439
"370",146.00951,-38.28138
"371",145.1662,-38.16045
"372",143.13469,-37.42965
"373",144.26485,-37.39014
"374",146.39545,-38.19447
"375",146.39773,-38.19448
"376",143.60545,-37.78044
"377",143.92116,-37.81177
"378",146.32599,-38.5289
"379",145.3771,-37.60132
"380",144.26659,-37.38884
"381",143.96969,-38.54369
"382",146.56248,-38.47057
"383",145.64241,-37.96797
"384",146.37071,-38.21553
"385",146.21208,-37.23321
"386",146.31232,-38.54396
"387",145.55932,-38.18901
"388",145.56301,-38.18419
"389",141.95862,-37.23495
"390",143.71178,-37.4793
"391",141.3049,-38.1492
"392",141.2576,-37.6439
"393",141.3032,-37.3052
"394",141.3216,-37.304
"395",144.1604,-38.3533
"396",142.2691,-38.3149
"397",143.96559,-37.7486
"398",143.4444,-37.4082
"399",142.63793,-37.2517
"400",144.06226,-36.9493
"401",142.46305,-38.3921
"402",147.31757,-38.2166
"403",146.91874,-38.2242
"404",145.06022,-38.4206
"405",142.88897,-38.52065
"406",147.30112,-37.92976
"407",144.54986,-37.41262
"408",144.55006,-37.40631
"410",145.69224,-37.98867
"411",145.08098,-38.28487
"412",146.06501,-38.0472
"413",141.75038,-38.12163
"414",146.84154,-38.39149
"415",145.51494,-38.0848
"416",143.80017,-36.8165
"417",146.23213,-37.42831
"418",146.33708,-37.95622
"419",146.36971,-37.86717
"420",146.14144,-38.71919
"421",147.39709,-38.00158
"422",146.42286,-38.0495
"423",146.64698,-38.13421
"424",147.95051,-37.72622
"425",148.29153,-37.76083
"426",148.21753,-37.8175
"428",142.24469,-38.34183
"429",142.24468,-38.34093
"430",142.24466,-38.34003
"431",142.2403,-38.35269
"432",143.31006,-37.94812
"433",147.71235,-37.62245
"434",141.68203,-38.0784
"435",144.2705,-37.39027
"436",143.50459,-37.59809
"437",145.53156,-38.58899
"438",145.51348,-38.57306
"439",145.56923,-38.34676
"440",145.59549,-37.87632
"441",145.60049,-37.95758
"442",144.4411,-37.8963
"443",145.3125,-38.0089
"444",145.31107,-38.0484
"445",145.313,-37.9895
"446",145.33172,-37.994
"447",145.31726,-38.0452
"448",145.16917,-38.3192
"450",146.35239,-38.072
"451",141.2927,-38.0596
"452",141.5754,-37.985
"453",141.6805,-37.9971
"454",141.8321,-38.1447
"455",141.2218,-37.7193
"456",141.197,-37.5284
"458",143.4553,-38.4507
"459",143.6149,-37.6307
"460",143.578,-37.6522
"461",141.652,-38.2304
"462",145.48098,-37.9804
"463",145.13647,-37.99199
"464",145.9969,-38.85501
"465",145.43525,-38.02519
"466",145.08638,-37.37386
"467",145.06226,-37.78262
"468",144.52229,-37.39222
"469",146.09112,-37.49942
"470",146.22477,-38.02764
"471",146.84197,-38.19682
"472",146.34622,-38.46277
"473",146.51846,-38.41674
"474",145.21265,-37.80843
"475",145.20385,-37.79658
"476",146.38258,-38.09526
"477",144.98149,-37.82993
"478",145.17137,-38.32777
"479",146.70506,-38.16141
"480",146.95397,-36.20389
"481",147.14748,-37.92014
"482",143.53684,-38.12276
"484",145.34607,-37.83651
"485",145.74664,-37.93699
"486",145.19277,-37.73873
"487",145.09241,-37.93451
"488",145.72016,-37.88894
"489",146.40061,-37.9818
"490",148.61823,-37.80186
"491",149.3564,-37.47671
"492",149.34784,-37.4922
"493",149.15777,-37.68597
"494",142.78299,-37.94107
"495",142.2425,-38.34726
"496",142.24361,-38.34545
"497",141.41475,-38.28371
"498",141.96064,-37.88577
"499",143.85956,-37.70988
"500",144.99956,-38.37168
"501",142.37935,-37.6005
"502",145.50869,-38.1328
"503",145.5733,-38.17933
"504",145.44869,-38.14642
"505",145.68087,-37.05199
"506",143.74506,-37.81936
"507",143.71586,-37.89032
"508",143.78106,-37.7194
"509",141.61161,-37.92574
"510",141.61829,-37.90768
"511",141.6857,-37.44763
"512",142.04028,-37.46035
"513",145.45494,-38.07389
"514",144.07145,-37.84826
"515",145.9424,-38.7307
"516",145.85183,-38.1647
"517",145.3289,-38.0181
"518",148.65915,-37.3792
"519",145.22431,-38.2985
"520",145.04901,-37.7893
"521",147.23428,-36.2832
"522",141.311,-38.0506
"523",141.2853,-37.5804
"524",143.5353,-37.6662
"525",144.1554,-38.3875
"526",144.08061,-37.8251
"527",143.56304,-37.8801
"528",143.957,-37.7536
"529",141.99162,-37.372
"530",144.30946,-38.2607
"531",145.06583,-38.3158
"532",145.24711,-38.14
"533",145.25434,-38.13
"534",145.26675,-38.1483
"535",145.193034,-37.603464
"536",148.789055,-37.614741
"537",148.720472,-37.267547
"538",145.693602,-38.013941
"539",144.13032,-38.41773
"540",145.67953,-37.74429
"541",145.04277,-37.78951
"542",145.03036,-37.7866
"543",146.31382,-38.00926
"544",145.26197,-38.12639
"545",146.55166,-38.60433
"546",146.49416,-38.45179
"547",146.58457,-38.2737
"548",145.15613,-37.47681
"549",145.47515,-37.5823
"550",145.93656,-38.80581
"551",145.97442,-38.73496
"552",145.18302,-37.62683
"555",145.51519,-38.07218
"557",145.20382,-37.61003
"558",144.42912,-37.50737
"559",145.51603,-37.17543
"560",143.6963,-36.82701
"561",144.99724,-37.70944
"562",143.13289,-37.40625
"563",145.75928,-37.59014
"564",145.74828,-37.90727
"565",145.80098,-37.81409
"566",146.79152,-37.86507
"567",147.32037,-37.90808
"568",147.94871,-37.76319
"569",141.23473,-37.77048
"570",149.59524,-37.38609
"571",148.28576,-37.75549
"572",148.16762,-37.82251
"573",145.56535,-38.36299
"574",143.32018,-38.0164
"575",142.27392,-38.31178
"576",142.26601,-38.31727
"577",142.24245,-38.34456
